symbol,year,growth_rate
MCK,2017,0.010221992726691078
RSG,2016,0.006720346933526652
XRAY,2018,0.009226478289994696
C,2019,0.010086702200200345
USB,2014,0.006294975199278944
AIZ,2014,0.007781801823553158
CNP,2022,0.010946812964274386
LEN,2013,0.015831161552248906
FISV,2017,0.006157700353662593
INCY,2020,0.01715453494522533
KO,2018,0.007561428866405192
MLM,2022,0.01516733063991733
ESS,2017,0.006949384183552031
AIZ,2020,0.0149454972662438
VFC,2013,0.00840175400493924
DG,2020,0.012547761122527817
PNC,2017,0.007556661394482401
MAS,2019,0.010113088715730282
MA,2021,0.010508610500666026
GM,2016,0.009702649685109711
FE,2017,0.007861531579556888
ABT,2017,0.006802375948676746
WBA,2017,0.007458041194911956
VRSN,2015,0.009843857458413053
CMCSA,2015,0.008664912521422373
AIZ,2017,0.0075486793907855315
CINF,2016,0.006164284194441272
OKE,2014,0.009145518414093338
MCO,2016,0.008883950182278498
BLL,2014,0.007693994260205644
ALB,2017,0.00885798309984254
EOG,2013,0.010588535360757071
AMGN,2018,0.012476537903738491
COP,2016,0.01613186119107494
KMI,2014,0.00878696699845152
BDX,2019,0.008650174027623577
AMT,2020,0.013992092081461889
GPN,2019,0.009474727108659984
DAL,2014,0.013840958008019351
FCX,2018,0.01570986797763955
JPM,2013,0.008449612201134262
INCY,2019,0.013285507672601738
LH,2015,0.008566693622243963
UA,2017,0.01371736300641262
FAST,2018,0.012517619255278908
GRMN,2018,0.00911571072010271
VLO,2013,0.014084248935913285
ECL,2015,0.007909224968747073
GS,2013,0.009389289597044322
ORCL,2013,0.008772007294536704
NLSN,2021,0.011062423028989073
GM,2022,0.017180305094895185
IFF,2021,0.01042631444614477
NFLX,2013,0.01666237096856196
PKG,2016,0.011576079082633497
DE,2014,0.00683201524569844
RE,2017,0.008031556940396546
OMC,2013,0.007287641916733186
FRT,2021,0.010953814674701065
XYL,2017,0.007324060625928512
MU,2015,0.015835918251590947
TSN,2016,0.010562340295464226
BIIB,2014,0.014217517988966292
DRE,2018,0.008256975339559852
FOX,2014,0.00947078366883268
MAA,2020,0.01407709442202822
TSN,2018,0.006852457582223417
OMC,2017,0.007454794516560135
CFG,2014,0.013506139820599027
KLAC,2018,0.016505548307450508
SCHW,2021,0.012575556956521563
PEAK,2019,0.008825943134424374
HRL,2022,0.011150289277027657
ARE,2020,0.012846992912757442
SHW,2017,0.0068083715831375215
GWW,2018,0.017188998609244135
GD,2018,0.01373231985339573
CTLT,2021,0.01234767426682873
PEG,2017,0.00625038558985662
CRM,2014,0.013752959427521283
KMX,2014,0.010660479621173601
ATO,2021,0.008741119031858402
CHD,2019,0.008029533180008834
NEM,2021,0.011374111979556607
VRSN,2014,0.00971681916264874
PAYX,2018,0.010752975096814069
TGT,2013,0.006924988559543101
MRNA,2021,0.03484733803201607
EQR,2021,0.009399550723696842
ADM,2018,0.010553623565730181
TXT,2014,0.009990948290050157
MNST,2019,0.010221771427235618
NKE,2016,0.00955332924274845
DOV,2021,0.00860009226556547
FBHS,2015,0.011481810283730227
AEP,2020,0.01351290654493092
MCK,2015,0.00815137568289644
AMGN,2020,0.013614039071710786
AVY,2017,0.006377015994239524
GPC,2018,0.010115274101651042
HRL,2021,0.008928388027673031
BBY,2014,0.014436412122959836
LKQ,2016,0.010665856106029874
RHI,2014,0.0085278012761791
AOS,2021,0.01091749390043099
KMB,2014,0.006245519564537842
AIG,2021,0.012415327945795395
LOW,2016,0.009239581069784949
BXP,2013,0.008019641530965939
CBOE,2016,0.008665861190227551
LH,2018,0.010525877344068714
MKTX,2019,0.01383965052655522
CINF,2018,0.008599674569728774
NKE,2019,0.007986973898678069
IQV,2016,0.010699326311271224
EMR,2019,0.007832378786514
MRK,2015,0.007568942532927241
AJG,2017,0.005698821063270282
CLX,2018,0.007586783897248097
DHI,2017,0.00964500466287677
KR,2017,0.010609591185642312
TSN,2015,0.010699245026561001
BSX,2017,0.007233268762294725
CTSH,2013,0.009065166847882042
FRT,2022,0.012433562650003975
F,2015,0.008103610704079904
GLW,2016,0.010372901710139316
CNP,2020,0.01603511664053829
CHTR,2021,0.011117758911893994
VRTX,2015,0.017116591773107287
MCD,2014,0.005829585996690816
HBAN,2022,0.016556566658425552
J,2022,0.01259647110919077
NI,2015,0.010241037876833803
EXPD,2018,0.007927972401958213
INFO,2017,0.007410175881983696
CHTR,2018,0.013127528483711735
DOV,2018,0.009181903213593691
NVDA,2018,0.020153273766526706
TAP,2022,0.01616657818181552
INCY,2018,0.012528858687435241
COF,2022,0.017511672825706173
IVZ,2016,0.010947702302638189
XOM,2013,0.00568719841876771
CAG,2021,0.009367426916152659
HPQ,2017,0.009008551317972357
IFF,2017,0.006757981948334522
EW,2019,0.009958733426030177
ECL,2022,0.009484853537286562
INTC,2018,0.01450346849625263
WHR,2017,0.008583523124886467
WY,2015,0.008131093864298607
K,2013,0.005855467656032228
JNJ,2015,0.006203883273132521
JPM,2020,0.013982428728135758
ADM,2014,0.008179967647309145
GPN,2013,0.007861425394895425
FRC,2021,0.010698231144196855
AVB,2020,0.01469899075970819
EXR,2013,0.008394125465150264
TXN,2017,0.006988071695100508
HES,2022,0.020050364022671217
PWR,2013,0.009146521733240699
ATVI,2017,0.009994135188338391
EIX,2020,0.015244041235626938
MS,2017,0.00876572921371849
EVRG,2022,0.009975261388329895
OMC,2015,0.007176828319366652
INTC,2022,0.014059708291322357
AXP,2021,0.010656047797100766
PH,2013,0.009177899624048079
HRL,2020,0.011908334284287166
WFC,2014,0.006220164986513116
NWSA,2020,0.017016148852163706
NFLX,2022,0.016679688465202448
JPM,2022,0.011073333528527192
KMB,2022,0.00873142681617781
NEM,2013,0.014039692619963393
NWS,2021,0.01171275236224672
HD,2017,0.005787155383736488
TXN,2014,0.008386512846962407
VMC,2018,0.013516629622610053
ANSS,2022,0.017887291301051985
IFF,2016,0.00837748338020916
TAP,2014,0.008132501754288073
GOOGL,2022,0.012856023601837492
CE,2020,0.015863945622013514
EXR,2016,0.010705036250512358
AAPL,2017,0.006366895768056284
PM,2014,0.006227849036504727
MSFT,2017,0.005867299874531624
BRK.B,2013,0.005332613772054207
ORLY,2016,0.009399899639594303
NKE,2022,0.009388783757306828
OXY,2014,0.007690179480391694
ZTS,2015,0.010476836095979507
SYY,2013,0.006900327440794134
ULTA,2013,0.012041648066218663
MTCH,2019,0.017906437283701417
CB,2020,0.014428977112696613
LNT,2014,0.007112017600778284
NEM,2014,0.012737336740223638
MDLZ,2018,0.010335372284327527
MCHP,2013,0.007960346391990962
ADM,2017,0.007632275267887025
AOS,2019,0.009913369714353436
ADP,2014,0.0059770231659837915
UDR,2015,0.009796202719337276
URI,2016,0.017147247568601382
SJM,2014,0.00633923284712678
EA,2022,0.015326075275326933
AAPL,2020,0.014633512327023533
ILMN,2016,0.016242547227648944
DRE,2020,0.013894656875623504
NEE,2020,0.014224770743833687
LHX,2020,0.013950927441775418
ANET,2021,0.012687664418013419
SWKS,2016,0.015008365538030576
RL,2014,0.008265847286995085
APH,2015,0.008296739259573499
MPC,2013,0.015103820737803739
V,2015,0.008188109190263249
XRAY,2014,0.007622798419169703
FDX,2020,0.015617897376548256
AMAT,2019,0.012799590518465558
LH,2021,0.010156512874346536
UDR,2014,0.007412915957691959
SBUX,2013,0.008127342901903452
JCI,2015,0.007826280727240828
KEY,2015,0.009371379965632807
STZ,2021,0.008503932861617602
PEAK,2020,0.017308324776797133
SNA,2017,0.007213003503460956
L,2017,0.005047980215998344
IBM,2016,0.00787373752237511
ABT,2022,0.010370848534387796
DXCM,2021,0.015062065723775097
PCAR,2014,0.00848118450585281
LNC,2022,0.01875025013914389
NDAQ,2016,0.00861073017623708
SRE,2018,0.008794024406131926
CSX,2020,0.01391360485797734
COST,2015,0.007077311906869421
KMB,2020,0.011785222952656911
D,2017,0.005309927256633304
NWS,2015,0.009918187471564205
MLM,2014,0.011443958958164926
DVA,2017,0.009390379629066007
LOW,2022,0.013318911438420128
PNW,2017,0.005615888273458332
SYF,2015,0.010458395281159084
RMD,2015,0.00930397653272618
C,2013,0.009101479462605552
ADBE,2014,0.00978682476167874
ROST,2015,0.010053144344221283
PH,2018,0.007805692199578209
CAG,2022,0.0109462049692451
IPGP,2020,0.01927588981525568
AES,2019,0.009411688016654752
KLAC,2019,0.012114781181558355
GRMN,2014,0.01057925280209987
WRB,2022,0.012944806414197131
LNC,2020,0.02315307231648043
UHS,2013,0.010037849333804902
ADBE,2021,0.009997187497940145
EQR,2019,0.006998739851288522
APTV,2022,0.019487232617699423
ABT,2021,0.00903662502127345
JBHT,2014,0.007785158806885443
PNR,2016,0.010504651160353071
DVA,2015,0.0070289185033320335
LUMN,2022,0.01735546264578534
AAP,2022,0.013842342271126148
MOS,2018,0.01504691737610774
CCI,2019,0.008025217567289822
OXY,2018,0.007862675137063598
ACN,2016,0.008061754937034898
LRCX,2014,0.010773119630244172
LKQ,2014,0.011745502500327376
T,2016,0.006719934702827172
MO,2013,0.006138387420890634
GD,2016,0.007829515581886881
ED,2014,0.006945249120924607
PXD,2016,0.014718034556128306
ILMN,2020,0.01666560624237364
PAYX,2014,0.006647328663087205
KMB,2016,0.007243334702825715
PWR,2017,0.01002829463565522
KMX,2013,0.009912561888290787
INTC,2020,0.015551776204066503
NWSA,2022,0.01666501160119925
IRM,2022,0.014728391191683931
GS,2020,0.014484585388544177
MGM,2014,0.012233045898340022
GL,2021,0.009775477771540112
PWR,2015,0.012580804030214105
VZ,2016,0.006709300127299176
AMZN,2018,0.015185529179538878
KMI,2015,0.00955665041391733
CINF,2013,0.006126484427000024
ILMN,2019,0.011873813869528843
HII,2022,0.016148437936306517
ALK,2022,0.020369525011233586
PCAR,2015,0.008628112110273648
AIG,2022,0.017179617930041777
KEYS,2019,0.010989689693407502
APA,2021,0.023439187588186763
MDT,2020,0.011652023580821
PAYX,2015,0.007149555573347283
CMS,2014,0.007541754240237273
LOW,2021,0.01058088776151354
DRI,2016,0.009373060067012324
ARE,2018,0.006951667526819818
DVN,2019,0.01655746269263654
INCY,2022,0.016775906759637065
ANSS,2019,0.010616055416606245
NFLX,2018,0.020908923469880176
BBY,2017,0.011339984542440864
GPN,2016,0.010595474057858203
ALL,2016,0.006339328485442315
MKC,2021,0.0085176995194628
IDXX,2022,0.018234536165889575
CZR,2019,0.01627269654226958
A,2014,0.008412296786936948
KMX,2020,0.016800961473374447
AFL,2021,0.008783631103267664
SLB,2018,0.014444980769329274
AEP,2018,0.0054464902699449605
GPC,2016,0.008063959371051213
ROK,2014,0.008275198113647396
MSI,2013,0.008016407630422813
MAR,2019,0.008915045904055487
IR,2014,0.008640251257274698
AVGO,2016,0.011172922975974404
LOW,2019,0.009249229669105321
JBHT,2021,0.011472846640218887
LUMN,2021,0.01756502529861165
T,2015,0.006303346265050349
CBOE,2021,0.013323762141420682
PPL,2013,0.0065712260337736205
BAC,2018,0.010244257661594185
CNC,2016,0.0146389972141324
GIS,2021,0.009235237568563882
VTR,2016,0.00961199676028955
KR,2016,0.010705490151686734
HON,2019,0.0063495822968553115
HST,2020,0.020320133623194403
GIS,2019,0.008481999433693507
LYB,2020,0.019658444300429567
APA,2020,0.02878650803575409
ED,2016,0.008152287890547482
WBA,2013,0.00977095389527201
LIN,2021,0.006922430931240995
BMY,2021,0.009090725679461566
COP,2018,0.011813177032167811
AOS,2022,0.011093602262489628
AOS,2013,0.009336191614188357
FLT,2022,0.016112473115135643
NWSA,2013,0.012144102361781215
CSCO,2021,0.009236576358532542
CTSH,2022,0.01440873551489412
IVZ,2018,0.011154372941606955
CCL,2022,0.027227109600329823
MO,2022,0.012312050868869816
AME,2017,0.00637630140821166
CMS,2015,0.008990418040516993
BIIB,2017,0.009446181211729032
DIS,2022,0.012038068773172384
CTAS,2017,0.006169744093584836
KLAC,2013,0.009129116193589113
WEC,2014,0.008241105072872618
SWK,2018,0.0070233764118158475
EFX,2016,0.007684032530163251
BDX,2015,0.0069755067907454164
COP,2019,0.011100120921873017
BSX,2013,0.01268327012131707
SWK,2017,0.006468175630156573
SCHW,2016,0.011961735413414224
LLY,2013,0.006425474161425707
AMZN,2017,0.006423310768788504
FRC,2022,0.01502544729158019
JBHT,2019,0.011152449426012432
MDLZ,2020,0.010755853506419106
WMB,2013,0.008819556279309955
CERN,2019,0.008873400546778373
INTC,2014,0.008972923513192118
REGN,2017,0.013322903521505463
MNST,2020,0.011947453937021775
CAT,2013,0.00697343007471059
D,2020,0.01356571804050509
MNST,2022,0.010945863482103933
HON,2016,0.006964888017573083
XOM,2015,0.008109193024000271
CTSH,2015,0.00934890060963248
ANTM,2019,0.011071824498236875
LNT,2020,0.013090178533104135
INCY,2015,0.021607740470136264
FOXA,2018,0.01414351151410156
MOS,2013,0.00961489744785291
BK,2015,0.007985372091303997
JKHY,2021,0.010034950266072163
MAA,2018,0.008341545733442821
APD,2022,0.008219514519929121
AMD,2019,0.01851149386542157
PEP,2018,0.008063214471422804
ADBE,2018,0.012229812141981503
BLK,2014,0.007987916372799515
MDT,2014,0.007864153774358035
APD,2015,0.00794817512703303
GOOG,2017,0.00627481179044705
URI,2017,0.012847985373951253
PBCT,2017,0.007658571409627472
EFX,2019,0.008557495848236998
ULTA,2017,0.010115657856100508
